command	flag	method	url	field	control	emptied	verdict	answer
attest custom	--repo-url						nothing to read	the run with the flag set sent no request
attest custom	--repository	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-custom-repository-set-fl/trail/probe-attest-custom-repository-set-tr/custom				no field	the flag changes no field of the payload
attest custom	--trail	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-custom-trail-set-fl/trail/probe-attest-custom-trail-set-tr/custom				no field	the flag changes no field of the payload
attest custom	--type	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-custom-type-set-fl/trail/probe-attest-custom-type-set-tr/custom				no field	the flag changes no field of the payload
attest custom	--user-data	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-custom-user-data-set-fl/trail/probe-attest-custom-user-data-set-tr/custom	user_data	400	400	unusable, the control failed	{"message":"Input payload validation failed","errors":{"data_json":"Field required [input: None]"}}
attest decision	--annotate						nothing to read	the run with the flag set sent no request
attest decision	--artifact-type						nothing to read	the run with the flag set sent no request
attest decision	--attachments						nothing to read	the run with the flag set sent no request
attest decision	--commit	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-decision-commit-set-fl/trail/probe-attest-decision-commit-set-tr/system	git_commit_info	400	400	unusable, the control failed	{"message":"Input payload validation failed","errors":{"data_json":"Field required [input: None]"}}
attest decision	--compliant	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-decision-compliant-set-fl/trail/probe-attest-decision-compliant-set-tr/system				no field	the flag changes no field of the payload
attest decision	--control	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-decision-control-set-fl/trail/probe-attest-decision-control-set-tr/system				no field	the flag changes no field of the payload
attest decision	--description	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-decision-description-set-fl/trail/probe-attest-decision-description-set-tr/system	description	400	400	unusable, the control failed	{"message":"Input payload validation failed","errors":{"data_json":"Field required [input: None]"}}
attest decision	--dry-run						nothing to read	the run with the flag set sent no request
attest decision	--exclude	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-decision-exclude-set-fl/trail/probe-attest-decision-exclude-set-tr/system				no field	the flag changes no field of the payload
attest decision	--external-fingerprint						nothing to read	the run with the flag set sent no request
attest decision	--external-url						nothing to read	the run with the flag set sent no request
